Country,Gender,population,Income,incomepc,Age,Education,pc,Videogames,Piano,Teamsport,gym,Restaurant,Charity,Ecommerce,Information,taste,segments
FR,1,30000,64999.5,12999.9,59,Bac+5,5,0,0,0,1,1,0,1,"Oui, partiellement",5,3
FR,0,30000,10000.0,10000.0,64,Bac,1,0,0,0,1,1,0,1,"Oui, partiellement",0,2
FR,1,7500,24999.5,6249.875,50,Bac+2/Bac+3,4,1,0,0,0,1,0,1,"Oui, partiellement",5,3
FR,1,30000,24999.5,24999.5,30,Bac+2/Bac+3,1,1,0,0,0,1,0,1,"Oui, tout à fait",5,2
FR,0,30000,10000.0,5000.0,48,Bac,2,1,0,0,0,0,0,1,"Oui, partiellement",0,2
FR,1,1000,34995.00000000001,11665.000000000002,42,Bac,3,0,0,0,0,1,0,1,"Oui, tout à fait",5,3
FR,1,3500,24999.5,8333.166666666666,29,Bac,3,1,0,0,0,1,0,1,"Oui, partiellement",5,3
FR,1,3500,64999.5,32499.75,50,Bac,2,0,0,0,0,1,0,1,"Non, pas du tout",0,1
FR,0,1000,44999.5,22499.75,55,Bac,2,0,0,0,0,1,0,1,"Oui, tout à fait",0,2
FR,0,1000,10000.0,10000.0,65,Bac,1,0,0,0,0,1,0,0,"Oui, tout à fait",0,2
FR,0,3500,24999.5,12499.75,31,Bac+2/Bac+3,2,1,0,0,1,1,0,1,"Oui, tout à fait",0,3
FR,1,7500,34995.00000000001,17497.500000000004,72,Bac,2,1,0,0,0,1,0,1,"Oui, partiellement",0,2
FR,0,1000,10000.0,5000.0,57,Collège,2,0,0,0,0,0,0,1,"Oui, partiellement",0,2
FR,0,1000000,24999.5,24999.5,76,Bac+2/Bac+3,1,0,0,0,0,1,0,1,"Oui, tout à fait",0,0
FR,0,30000,24999.5,6249.875,24,Bac+2/Bac+3,4,1,0,0,1,1,0,1,"Oui, partiellement",0,3
FR,0,75000,10000.0,10000.0,44,Bac,1,0,0,0,0,1,0,0,"Oui, partiellement",0,2
FR,1,30000,24999.5,12499.75,57,Bac,2,0,0,0,0,1,0,1,"Oui, partiellement",5,2
FR,0,7500,10000.0,10000.0,68,Collège,1,0,0,0,0,0,0,0,"Oui, partiellement",5,2
FR,1,30000,24999.5,12499.75,64,Bac,2,0,0,0,0,1,0,1,"Oui, partiellement",5,2
FR,0,1000000,24999.5,12499.75,47,Bac+2/Bac+3,2,0,0,0,0,0,0,1,"Non, pas du tout",0,0
FR,0,1000,64999.5,32499.75,55,Bac+2/Bac+3,2,0,0,0,0,0,0,1,"Oui, partiellement",5,1
FR,1,30000,44999.5,7499.916666666667,38,Bac+2/Bac+3,6,0,0,0,0,1,0,1,"Oui, partiellement",5,3
FR,0,75000,10000.0,10000.0,42,Bac+5,1,0,0,1,0,1,0,1,"Oui, partiellement",5,2
FR,1,75000,24999.5,24999.5,48,Bac,1,1,0,0,0,0,0,0,"Oui, partiellement",10,2
